path,type,size_bytes,compressed_size_bytes,sha256,hash_error,nested_error_code,nested_error
4.0.0.98-artik710s-dev.zip/eyecontrol-artik710s-med2-MED-3161-create-home-care-new-image-prod-2.7.1.1-dev-image-4.0.0.98-2026-02-13.11:45:11.tar.gz/fip-nonsecure.img,file,507504,,11f43dd8ebe2c2e94c0dbc835fe5deccdbe70199f4743a3548d5305fce2eb4f3,,,
4.0.0.98-artik710s-dev.zip/eyecontrol-artik710s-med2-MED-3161-create-home-care-new-image-prod-2.7.1.1-dev-image-4.0.0.98-2026-02-13.11:45:11.tar.gz/fip-secure.img,file,926880,,3708cf546ae27fe46d4665e69f6964f197d4e5810f2d2129cc53a51b56bb9309,,,
4.0.0.98-artik710s-dev.zip/eyecontrol-artik710s-med2-MED-3161-create-home-care-new-image-prod-2.7.1.1-dev-image-4.0.0.98-2026-02-13.11:45:11.tar.gz/flag.img,file,131072,,2f27733e7e145ff137d540124041b32650fc09264bc1b487e2139b3a9cdbef3d,,,
4.0.0.98-artik710s-dev.zip/eyecontrol-artik710s-med2-MED-3161-create-home-care-new-image-prod-2.7.1.1-dev-image-4.0.0.98-2026-02-13.11:45:11.tar.gz/flash_all_by_fastboot.sh,file,1693,,737ad5d7d52238a9558b612bd11365538387ff9f4068dcc8e3e315fd2b59c50d,,,
4.0.0.98-artik710s-dev.zip/eyecontrol-artik710s-med2-MED-3161-create-home-care-new-image-prod-2.7.1.1-dev-image-4.0.0.98-2026-02-13.11:45:11.tar.gz/flash_all_ec.sh,file,2687,,d607697176ebb09704968328d6aef280391b29f2166d12c0f573adedeec60e19,,,
4.0.0.98-artik710s-dev.zip/eyecontrol-artik710s-med2-MED-3161-create-home-care-new-image-prod-2.7.1.1-dev-image-4.0.0.98-2026-02-13.11:45:11.tar.gz/flash_fw.jlink,file,91,,90ee2863f0ce569d91bdf0c3c313fe741d04df064f91a17e6a06d15b4258e349,,,
4.0.0.98-artik710s-dev.zip/eyecontrol-artik710s-med2-MED-3161-create-home-care-new-image-prod-2.7.1.1-dev-image-4.0.0.98-2026-02-13.11:45:11.tar.gz/mkimage,file,160320,,389c5f1c59257641a543ec898062568745ed0312e8cdff7d4352b5e86114dfb9,,,
4.0.0.98-artik710s-dev.zip/eyecontrol-artik710s-med2-MED-3161-create-home-care-new-image-prod-2.7.1.1-dev-image-4.0.0.98-2026-02-13.11:45:11.tar.gz/modules.img,file,33554432,,afb3edc7a80ccc91caab8ca00dfee33982a0a538e7cb3084bf9d3c4050f0f50d,,,
4.0.0.98-artik710s-dev.zip/eyecontrol-artik710s-med2-MED-3161-create-home-care-new-image-prod-2.7.1.1-dev-image-4.0.0.98-2026-02-13.11:45:11.tar.gz/nsih-artik710s.txt,file,5480,,58a47d364106dfd897d3957a960ca87cd44ed9fdbf9f87c7c217d9a3ade55763,,,
4.0.0.98-artik710s-dev.zip/eyecontrol-artik710s-med2-MED-3161-create-home-care-new-image-prod-2.7.1.1-dev-image-4.0.0.98-2026-02-13.11:45:11.tar.gz/params.bin,file,16384,,0d434a598d027bf89cca03c1e172f30491d7bfc33a733a21f492553dd7be600a,,,
